Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
40.055019	2	0	2000	678
40.055019	2	1	2000	678
40.055019	2	2	2000	678
40.055019	2	3	2000	678
40.055019	2	4	2000	678
40.055019	2	5	2000	678
40.055019	2	6	2000	678
40.055019	2	7	2000	678
40.055019	2	8	2000	678
40.055019	2	9	2000	678
40.055019	2	10	2000	678
40.055019	4	0	400	313
40.055019	4	1	400	313
40.055019	4	2	400	313
40.055019	4	3	400	316
40.055019	4	4	400	331
40.055019	4	5	400	353
40.055019	4	6	400	377
40.055019	4	7	400	395
40.055019	4	8	400	400
40.055019	4	9	400	400
40.055019	4	10	400	400
40.055019	4	0	4000	1109
40.055019	4	1	4000	1150
40.055019	4	2	4000	1195
40.055019	4	3	4000	1242
40.055019	4	4	4000	1291
40.055019	4	5	4000	1339
40.055019	4	6	4000	1356
40.055019	4	7	4000	1356
40.055019	4	8	4000	1356
40.055019	4	9	4000	1356
40.055019	4	10	4000	1356
50.057648	1	0	100	100
50.057648	1	1	100	100
50.057648	1	2	100	100
50.057648	1	3	100	100
50.057648	1	4	100	100
50.057648	1	5	100	100
50.057648	1	6	100	100
50.057648	1	7	100	100
50.057648	1	8	100	100
50.057648	1	9	100	100
50.057648	1	10	100	100
50.057648	1	0	1000	492
50.057648	1	1	1000	492
50.057648	1	2	1000	492
50.057648	1	3	1000	492
50.057648	1	4	1000	492
50.057648	1	5	1000	492
50.057648	1	6	1000	492
50.057648	1	7	1000	492
50.057648	1	8	1000	492
50.057648	1	9	1000	492
50.057648	1	10	1000	492
50.057648	2	0	200	200
50.057648	2	1	200	200
50.057648	2	2	200	200
50.057648	2	3	200	200
50.057648	2	4	200	200
50.057648	2	5	200	200
50.057648	2	6	200	200
50.057648	2	7	200	200
50.057648	2	8	200	200
50.057648	2	9	200	200
50.057648	2	10	200	200
50.057648	2	0	2000	984
50.057648	2	1	2000	984
50.057648	2	2	2000	984
50.057648	2	3	2000	984
50.057648	2	4	2000	984
50.057648	2	5	2000	984
50.057648	2	6	2000	984
50.057648	2	7	2000	984
50.057648	2	8	2000	984
50.057648	2	9	2000	984
50.057648	2	10	2000	984
50.057648	4	0	400	334
50.057648	4	1	400	334
50.057648	4	2	400	334
50.057648	4	3	400	336
50.057648	4	4	400	350
50.057648	4	5	400	370
50.057648	4	6	400	390
50.057648	4	7	400	394
50.057648	4	8	400	400
50.057648	4	9	400	400
50.057648	4	10	400	400
50.057648	4	0	4000	1589
50.057648	4	1	4000	1628
50.057648	4	2	4000	1672
50.057648	4	3	4000	1717
50.057648	4	4	4000	1764
50.057648	4	5	4000	1812
50.057648	4	6	4000	1858
50.057648	4	7	4000	1897
50.057648	4	8	4000	1968
50.057648	4	9	4000	1968
50.057648	4	10	4000	1968
60.062370	1	0	100	7
60.062370	1	1	100	7
60.062370	1	2	100	7
60.062370	1	3	100	11
60.062370	1	4	100	29
60.062370	1	5	100	52
60.062370	1	6	100	78
60.062370	1	7	100	97
60.062370	1	8	100	100
60.062370	1	9	100	100
60.062370	1	10	100	100
60.062370	1	0	1000	87
60.062370	1	1	1000	128
60.062370	1	2	1000	178
60.062370	1	3	1000	238
60.062370	1	4	1000	303
60.062370	1	5	1000	368
60.062370	1	6	1000	428
60.062370	1	7	1000	473
60.062370	1	8	1000	583
60.062370	1	9	1000	588
60.062370	1	10	1000	590
60.062370	2	0	200	17
60.062370	2	1	200	17
60.062370	2	2	200	17
60.062370	2	3	200	26
60.062370	2	4	200	60
60.062370	2	5	200	107
60.062370	2	6	200	157
60.062370	2	7	200	195
60.062370	2	8	200	200
60.062370	2	9	200	200
60.062370	2	10	200	200
60.062370	2	0	2000	175
60.062370	2	1	2000	261
60.062370	2	2	2000	356
60.062370	2	3	2000	477
60.062370	2	4	2000	606
60.062370	2	5	2000	736
60.062370	2	6	2000	856
60.062370	2	7	2000	949
60.062370	2	8	2000	1165
60.062370	2	9	2000	1176
60.062370	2	10	2000	1180
60.062370	4	0	400	120
60.062370	4	1	400	120
60.062370	4	2	400	120
60.062370	4	3	400	143
60.062370	4	4	400	200
60.062370	4	5	400	274
60.062370	4	6	400	346
60.062370	4	7	400	385
60.062370	4	8	400	393
60.062370	4	9	400	397
60.062370	4	10	400	400
60.062370	4	0	4000	480
60.062370	4	1	4000	649
60.062370	4	2	4000	845
60.062370	4	3	4000	1079
60.062370	4	4	4000	1321
60.062370	4	5	4000	1548
60.062370	4	6	4000	1833
60.062370	4	7	4000	1990
60.062370	4	8	4000	2279
60.062370	4	9	4000	2367
60.062370	4	10	4000	2486
70.065140	1	0	100	31
70.065140	1	1	100	31
70.065140	1	2	100	31
70.065140	1	3	100	35
70.065140	1	4	100	51
70.065140	1	5	100	73
70.065140	1	6	100	91
70.065140	1	7	100	96
70.065140	1	8	100	100
70.065140	1	9	100	100
70.065140	1	10	100	100
70.065140	1	0	1000	152
70.065140	1	1	1000	193
70.065140	1	2	1000	238
70.065140	1	3	1000	296
70.065140	1	4	1000	359
70.065140	1	5	1000	420
70.065140	1	6	1000	466
70.065140	1	7	1000	501
70.065140	1	8	1000	627
70.065140	1	9	1000	657
70.065140	1	10	1000	677
70.065140	2	0	200	85
70.065140	2	1	200	85
70.065140	2	2	200	85
70.065140	2	3	200	93
70.065140	2	4	200	128
70.065140	2	5	200	163
70.065140	2	6	200	183
70.065140	2	7	200	194
70.065140	2	8	200	200
70.065140	2	9	200	200
70.065140	2	10	200	200
70.065140	2	0	2000	284
70.065140	2	1	2000	369
70.065140	2	2	2000	463
70.065140	2	3	2000	583
70.065140	2	4	2000	710
70.065140	2	5	2000	836
70.065140	2	6	2000	945
70.065140	2	7	2000	1133
70.065140	2	8	2000	1282
70.065140	2	9	2000	1333
70.065140	2	10	2000	1355
70.065140	4	0	400	186
70.065140	4	1	400	186
70.065140	4	2	400	188
70.065140	4	3	400	218
70.065140	4	4	400	286
70.065140	4	5	400	350
70.065140	4	6	400	375
70.065140	4	7	400	386
70.065140	4	8	400	389
70.065140	4	9	400	390
70.065140	4	10	400	387
70.065140	4	0	4000	783
70.065140	4	1	4000	952
70.065140	4	2	4000	1154
70.065140	4	3	4000	1406
70.065140	4	4	4000	1669
70.065140	4	5	4000	1910
70.065140	4	6	4000	2203
70.065140	4	7	4000	2482
70.065140	4	8	4000	2723
70.065140	4	9	4000	2852
70.065140	4	10	4000	2820
80.067245	1	0	100	95
80.067245	1	1	100	95
80.067245	1	2	100	95
80.067245	1	3	100	98
80.067245	1	4	100	93
80.067245	1	5	100	90
80.067245	1	6	100	91
80.067245	1	7	100	95
80.067245	1	8	100	100
80.067245	1	9	100	100
80.067245	1	10	100	100
80.067245	1	0	1000	253
80.067245	1	1	1000	293
80.067245	1	2	1000	331
80.067245	1	3	1000	380
80.067245	1	4	1000	428
80.067245	1	5	1000	480
80.067245	1	6	1000	527
80.067245	1	7	1000	562
80.067245	1	8	1000	687
80.067245	1	9	1000	716
80.067245	1	10	1000	750
80.067245	2	0	200	195
80.067245	2	1	200	195
80.067245	2	2	200	195
80.067245	2	3	200	195
80.067245	2	4	200	183
80.067245	2	5	200	179
80.067245	2	6	200	183
80.067245	2	7	200	195
80.067245	2	8	200	200
80.067245	2	9	200	200
80.067245	2	10	200	200
80.067245	2	0	2000	571
80.067245	2	1	2000	654
