Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
417.937897	160000	2.379454	2.379454	2.379454	2.279982	2.279202	2.351835	2.394292	2.350154	2.379306
418.175476	165000	2.385178	2.385178	2.385178	2.447381	2.315619	2.360509	2.324176	2.298467	2.375674
418.404114	170000	2.386360	2.386360	2.386360	2.250225	2.297530	2.388916	2.377850	2.368327	2.361531
418.615417	175000	2.381971	2.381971	2.381971	2.423655	2.475554	2.364276	2.376787	2.366564	2.373630
418.838654	180000	2.378196	2.378196	2.378196	2.355158	2.257082	2.367214	2.399313	2.364723	2.372314
419.047760	185000	2.368286	2.368286	2.368286	2.421307	2.291213	2.384998	2.298935	2.340008	2.414939
419.247742	190000	2.357221	2.357221	2.357221	2.554931	2.453988	2.368967	2.288853	2.330954	2.379987
419.439026	195000	2.344337	2.344337	2.344337	2.294631	2.623295	2.359046	2.370657	2.344858	2.324875
419.607758	200000	2.334265	2.334265	2.334265	2.192982	2.411091	2.257782	2.340846	2.308999	2.293087
419.788086	205000	2.319294	2.319294	2.319294	2.213369	2.270921	2.385638	2.283105	2.323743	2.325805
419.961243	210000	2.307406	2.307406	2.307406	2.399232	2.171317	2.430946	2.370646	2.262722	2.295295
420.108246	215000	2.295111	2.295111	2.295111	2.223210	2.297530	2.329373	2.337727	2.242052	2.333458
420.261536	220000	2.280120	2.280120	2.280120	2.139495	2.482621	2.097811	2.374643	2.288073	2.298344
420.407654	225000	2.265598	2.265598	2.265598	2.274795	2.196354	2.271372	2.278371	2.292568	2.248874
420.561615	230000	2.251591	2.251591	2.251591	2.253267	2.168022	2.117130	2.245415	2.270534	2.271105
420.716614	235000	2.237997	2.237997	2.237997	1.919386	2.250478	2.148458	2.309500	2.255832	2.217161
420.855713	240000	2.225337	2.225337	2.225337	2.277904	2.376143	2.164151	2.224941	2.260086	2.244332
420.988037	245000	2.212781	2.212781	2.212781	2.429543	2.141557	2.202158	2.222272	2.147436	2.168019
421.130524	250000	2.200713	2.200713	2.200713	2.046664	2.162396	2.341784	2.178906	2.168701	2.149289
421.259155	255000	2.189811	2.189811	2.189811	2.315887	2.384359	2.168374	2.225546	2.196220	2.221097
