NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1408	1	-1	-1	209.452133	0	0	0	1408	1.000000	0.000000	0.000000	0	0	0
1408	1	-1	-1	209.452133	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1401	1	-1	-1	210.452667	0	0	0	1401	1.000000	0.000000	0.000000	0	0	0
1401	1	-1	-1	210.452667	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1421	1	-1	-1	211.453217	0	0	0	1421	1.000000	0.000000	0.000000	0	0	0
1421	1	-1	-1	211.453217	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1524	1	-1	-1	212.453461	0	0	0	1524	1.000000	0.000000	0.000000	0	0	0
1524	1	-1	-1	212.453461	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1539	1	-1	-1	213.453934	0	0	0	1539	1.000000	0.000000	0.000000	0	0	0
1539	1	-1	-1	213.453934	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1573	1	-1	-1	214.454193	0	0	0	1573	1.000000	0.000000	0.000000	0	0	0
1573	1	-1	-1	214.454193	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1536	1	-1	-1	215.454544	0	0	0	1536	1.000000	0.000000	0.000000	0	0	0
1536	1	-1	-1	215.454544	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1360	1	-1	-1	216.454590	0	0	0	1360	1.000000	0.000000	0.000000	0	0	0
1360	1	-1	-1	216.454590	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1346	1	-1	-1	217.455109	0	0	0	1346	1.000000	0.000000	0.000000	0	0	0
1346	1	-1	-1	217.455109	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1363	1	-1	-1	218.455566	0	0	0	1363	1.000000	0.000000	0.000000	0	0	0
1363	1	-1	-1	218.455566	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1450	1	-1	-1	219.455658	0	0	0	1450	1.000000	0.000000	0.000000	0	0	0
1450	1	-1	-1	219.455658	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1462	1	-1	-1	220.455933	0	0	0	1462	1.000000	0.000000	0.000000	0	0	0
1462	1	-1	-1	220.455933	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1447	1	-1	-1	221.456116	0	0	0	1447	1.000000	0.000000	0.000000	0	0	0
1447	1	-1	-1	221.456116	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1454	1	-1	-1	222.456192	0	0	0	1454	1.000000	0.000000	0.000000	0	0	0
1454	1	-1	-1	222.456192	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1525	1	-1	-1	223.456451	0	0	0	1525	1.000000	0.000000	0.000000	0	0	0
1525	1	-1	-1	223.456451	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1573	1	-1	-1	224.457199	0	0	0	1573	1.000000	0.000000	0.000000	0	0	0
1573	1	-1	-1	224.457199	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1608	1	-1	-1	225.457489	0	0	0	1608	1.000000	0.000000	0.000000	0	0	0
1608	1	-1	-1	225.457489	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1599	1	-1	-1	226.457611	0	0	0	1599	1.000000	0.000000	0.000000	0	0	0
1599	1	-1	-1	226.457611	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1622	1	-1	-1	227.458023	0	0	0	1622	1.000000	0.000000	0.000000	0	0	0
1622	1	-1	-1	227.458023	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1633	1	-1	-1	228.458099	0	0	0	1633	1.000000	0.000000	0.000000	0	0	0
1633	1	-1	-1	228.458099	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1660	1	-1	-1	229.458191	0	0	0	1660	1.000000	0.000000	0.000000	0	0	0
1660	1	-1	-1	229.458191	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1715	1	-1	-1	230.458328	0	0	0	1715	1.000000	0.000000	0.000000	0	0	0
1715	1	-1	-1	230.458328	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1732	1	-1	-1	231.458359	0	0	0	1732	1.000000	0.000000	0.000000	0	0	0
1732	1	-1	-1	231.458359	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1782	1	-1	-1	232.458374	0	0	0	1782	1.000000	0.000000	0.000000	0	0	0
1782	1	-1	-1	232.458374	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1886	1	-1	-1	233.458405	0	0	0	1886	1.000000	0.000000	0.000000	0	0	0
1886	1	-1	-1	233.458405	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
2063	1	-1	-1	234.458496	0	0	0	2063	1.000000	0.000000	0.000000	0	0	0
2063	1	-1	-1	234.458496	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
