"K" "migration_type" "init_migration_rate" "migration_edge_only" "migration_rate_scales_with_K" "mu_driver_birth" "mu_passenger" "mu_driver_migration" "normal_birth_rate" "baseline_death_rate" "s_driver_birth" "s_passenger" "s_driver_migration" "max_relative_birth_rate" "max_relative_migration_rate" "init_pop" "seed" "biopsy_size_per_sample" "Generation" "NumCells" "TotalBirths" "TotalDeaths" "TotalMigrations" "Passengers" "Drivers" "VarPassengers" "VarDrivers" "MeanBirthRate" "MeanMigrationRate" "VarBirthRate" "VarMigRate" "NumClones" "NumGenotypes" "NumDriverGenotypes" "NumDemes" "NumNon-EmptyDemes" "MatrixColumns" "DriverMatrixColumns" "EverGenotypes" "CellsWith0Drivers" "CellsWith1Drivers" "CellsWith2Drivers" "CellsWith3Drivers" "CellsWith4Drivers" "CellsWith5Drivers" "CellsWith6Drivers" "CellsWith7Drivers" "CellsWith8Drivers" "CellsWith9Drivers" "CellsWith10Drivers" "maxgen" "gen_adj" "SmoothNumCells" "SmoothRadius" "GrowthRate" "RadiusGrowthRate" "mean_autocor" "log_mean_autocor" "sqrt_mean_autocor" "skewness" "Population" "Parent" "Identity" "DriverIdentity" "DriverMutations" "MigrationMutations" "Immortal" "PassengerMutations" "BirthRate" "MigrationRate" "OriginTime" "Descendants" "pop_size" "VAF" "Diversity" "Diversity2" "Diversity_Descendants" "case"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 36010 100 525.905945 1000000 49023214 48023215 0 103.954155 0.01523 92.625755 0.014943 1 0 0 0 380694 380694 86 1 1 2975306 150 9331652 984771 15228 1 0 0 0 0 0 0 0 0 525.905945 1 934983.769769507 545.540628495279 17466.542403964 5.10791596140411 0 -Inf 0 NA 984771 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.03106245052895 1.03106248255631 1.03058945702097 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 36010 100 344.579193 1000000 10800994 9800995 0 69.578827 1.421004 23.810474 0.288729 1.096919 0 0.001299016 0 351172 351172 56 1 1 792965 60 2054440 21844 536006 441452 698 0 0 0 0 0 0 0 344.579193 1 245160.768851381 279.351206243706 11227.1402006032 6.41025178504288 0 -Inf 0 NA 21844 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 2.08454278097262 2.08454504175316 2.72700073397681 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 1830011 100 542.999573 1000000 49529270 48529271 0 103.273918 0.016926 104.054657 0.016651 1 0 0 0 381086 381086 60 1 1 3001023 110 9428533 983089 16896 15 0 0 0 0 0 0 0 0 542.999573 1 938996.388859006 546.710008747507 17471.3879567926 5.09166788032135 0 -Inf 0 NA 983089 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.03444541256588 1.03444544819782 1.03389281437664 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 210011 100 187.298965 1000000 9607776 8607777 0 41.818642 1.119214 19.486286 0.105239 1.115259 0 0.007142344 0 347477 347477 53 1 1 725986 55 1829405 0 880804 119178 18 0 0 0 0 0 0 0 187.298965 1 1001086.97788246 564.496131067205 108262.33080292 30.8444689296271 0 -Inf 0 NA 0 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.26872982055613 1.2687301615021 2.23172165016106 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 3003012 100 550.294556 1000000 50424530 49424531 0 109.207619 0.023406 90.367302 0.023023 1 0 0 0 381111 381111 74 1 1 3049582 141 9592666 976682 23230 88 0 0 0 0 0 0 0 0 550.294556 1 974194.683971253 556.862459657449 18194.0556350409 5.2236492342751 0 -Inf 0 NA 976682 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.04803371647871 1.04803376681971 1.04708461559345 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 3003012 100 435.029083 1000000 9440650 8440651 0 85.913399 0.904956 13.955672 0.090425 1.192212 0 0.004343635 0 328532 328532 58 1 1 710460 64 1794839 97352 900340 2308 0 0 0 0 0 0 0 0 435.029083 1 147599.949870695 216.75452300719 3554.24007647056 2.62085059239382 0 -Inf 0 NA 97352 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.35008395294346 1.35008442558683 2.09138196889048 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 1540013 100 494.013153 1000000 49974120 48974121 0 103.678329 0.002548 95.317459 0.002538 1 0 0 0 380759 380759 73 1 1 3028806 143 9514712 997452 2548 0 0 0 0 0 0 0 0 0 494.013153 1 949780.414656563 549.840427477759 17451.8415944576 5.05528621575394 0 -Inf 0 NA 997452 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00511497493265 1.00511498007379 1.00510192684371 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 1540013 100 338.78949 1000000 8446040 7446041 0 67.090294 0.955472 52.390083 0.046924 1.189236 0 0.008388257 0 330297 330297 52 1 1 656392 57 1608230 46597 951334 2069 0 0 0 0 0 0 0 0 338.78949 1 159074.434820123 225.022143893316 5389.41004566806 3.84265210372103 0 -Inf 0 NA 46597 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 2.49672906144729 2.49673279838356 2.73332726991811 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 3160014 100 492.431702 1000000 49350692 48350693 0 95.135864 0.00237 127.634125 0.002361 1 0 0 0 381146 381146 72 1 1 2988724 126 9393559 997630 2370 0 0 0 0 0 0 0 0 0 492.431702 1 938874.312468342 546.674469444734 17358.8061224965 5.06455875619506 0 -Inf 0 NA 997630 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00475621614212 1.00475622092097 1.00474493220049 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 3160014 100 357.945496 1000000 6173120 5173121 0 66.334183 1.836125 11.339399 0.27094 1.521269 0 0.02925214 0 283661 283661 54 1 1 516162 58 1175092 64818 36215 896991 1976 0 0 0 0 0 0 0 357.945496 1 103140.055215419 181.191885129026 2507.89219602853 2.21603597820472 0 -Inf 0 NA 64818 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.23472209606765 1.23472238588457 3.0023875794236 "caseA"
