Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1SamplesAtDepth0	DriverDiversityFrom1SamplesAtDepth1	DriverDiversityFrom1SamplesAtDepth2	DriverDiversityFrom1SamplesAtDepth3	DriverDiversityFrom1SamplesAtDepth4	DriverDiversityFrom1SamplesAtDepth5	DriverDiversityFrom1SamplesAtDepth6	DriverDiversityFrom1SamplesAtDepth7	DriverDiversityFrom1SamplesAtDepth8	DriverDiversityFrom1SamplesAtDepth9	DriverDiversityFrom1SamplesAtDepth10	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigSamplesAtDepth0	DriverDiversityFrom1BigSamplesAtDepth1	DriverDiversityFrom1BigSamplesAtDepth2	DriverDiversityFrom1BigSamplesAtDepth3	DriverDiversityFrom1BigSamplesAtDepth4	DriverDiversityFrom1BigSamplesAtDepth5	DriverDiversityFrom1BigSamplesAtDepth6	DriverDiversityFrom1BigSamplesAtDepth7	DriverDiversityFrom1BigSamplesAtDepth8	DriverDiversityFrom1BigSamplesAtDepth9	DriverDiversityFrom1BigSamplesAtDepth10	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2SamplesAtDepth0	DriverDiversityFrom2SamplesAtDepth1	DriverDiversityFrom2SamplesAtDepth2	DriverDiversityFrom2SamplesAtDepth3	DriverDiversityFrom2SamplesAtDepth4	DriverDiversityFrom2SamplesAtDepth5	DriverDiversityFrom2SamplesAtDepth6	DriverDiversityFrom2SamplesAtDepth7	DriverDiversityFrom2SamplesAtDepth8	DriverDiversityFrom2SamplesAtDepth9	DriverDiversityFrom2SamplesAtDepth10	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigSamplesAtDepth0	DriverDiversityFrom2BigSamplesAtDepth1	DriverDiversityFrom2BigSamplesAtDepth2	DriverDiversityFrom2BigSamplesAtDepth3	DriverDiversityFrom2BigSamplesAtDepth4	DriverDiversityFrom2BigSamplesAtDepth5	DriverDiversityFrom2BigSamplesAtDepth6	DriverDiversityFrom2BigSamplesAtDepth7	DriverDiversityFrom2BigSamplesAtDepth8	DriverDiversityFrom2BigSamplesAtDepth9	DriverDiversityFrom2BigSamplesAtDepth10	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4SamplesAtDepth0	DriverDiversityFrom4SamplesAtDepth1	DriverDiversityFrom4SamplesAtDepth2	DriverDiversityFrom4SamplesAtDepth3	DriverDiversityFrom4SamplesAtDepth4	DriverDiversityFrom4SamplesAtDepth5	DriverDiversityFrom4SamplesAtDepth6	DriverDiversityFrom4SamplesAtDepth7	DriverDiversityFrom4SamplesAtDepth8	DriverDiversityFrom4SamplesAtDepth9	DriverDiversityFrom4SamplesAtDepth10	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigSamplesAtDepth0	DriverDiversityFrom4BigSamplesAtDepth1	DriverDiversityFrom4BigSamplesAtDepth2	DriverDiversityFrom4BigSamplesAtDepth3	DriverDiversityFrom4BigSamplesAtDepth4	DriverDiversityFrom4BigSamplesAtDepth5	DriverDiversityFrom4BigSamplesAtDepth6	DriverDiversityFrom4BigSamplesAtDepth7	DriverDiversityFrom4BigSamplesAtDepth8	DriverDiversityFrom4BigSamplesAtDepth9	DriverDiversityFrom4BigSamplesAtDepth10	DriverDiversityFrom4BigRandomSamples
100.648643	9891	1.000607	1.000000	1.002224	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021274	1.020616	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010471	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005208	1.005168	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002035	1.002022	1.002022	1.002022	1.002026	1.002018	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001010	1.001013	1.001007	1.001014	1.002028	1.002028	1.001001	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000507	1.000506	1.001515	1.002021	1.002034	1.000000
101.120003	10000	1.000600	1.000000	1.002000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021503	1.021274	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010695	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005102	1.005208	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002049	1.002016	1.002020	1.002024	1.002012	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001009	1.001018	1.001014	1.002016	1.002019	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000506	1.000507	1.001522	1.002031	1.002019	1.000500
110.649292	12099	1.001158	1.000000	1.001818	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020406	1.020200	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010638	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005291	1.005141	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002035	1.002008	1.002028	1.002043	1.004010	1.000000	1.000000	1.000000	1.000000	1.001006	1.001014	1.001009	1.002028	1.002026	1.002020	1.002034	1.000000	1.000000	1.000000	1.000000	1.000512	1.000507	1.000505	1.000506	1.001015	1.002018	1.002026	1.002018	1.001001
120.649879	14569	1.001237	1.000000	1.001785	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021050	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010416	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005168	1.005277	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002014	1.002022	1.002035	1.002024	1.004010	1.000000	1.000000	1.000000	1.000000	1.000000	1.001015	1.001011	1.002029	1.002026	1.002036	1.002024	1.002002	1.000000	1.000000	1.000000	1.000000	1.000000	1.000507	1.000505	1.001012	1.002024	1.002026	1.002025	1.000500
122.643761	15000	1.001201	1.000000	1.001733	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021503	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010101	1.010471	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005208	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002012	1.002022	1.002028	1.002035	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001019	1.001015	1.002020	1.002035	1.002026	1.002029	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000504	1.000506	1.001009	1.002034	1.002031	1.002028	1.000500
130.650055	17130	1.001286	1.000000	1.003176	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020200	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010526	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005222	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002035	1.004042	1.004084	1.002030	1.002039	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001018	1.002013	1.003046	1.003058	1.002017	1.002024	1.001001	1.000000	1.000000	1.000000	1.000000	1.000000	1.001015	1.001011	1.001520	1.002538	1.002030	1.002027	1.002504
140.650543	19987	1.001503	1.000000	1.002221	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020200	1.020831	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010204	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005168	1.005236	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004047	1.006079	1.006098	1.004071	1.002026	1.002002	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.003033	1.004070	1.004058	1.003028	1.002020	1.000000	1.000000	1.000654	1.000523	1.000504	1.000504	1.001012	1.002029	1.002028	1.003036	1.002538	1.002027	1.000500
140.652863	20000	1.001502	1.000000	1.002600	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.019416	1.020406	1.021503	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010582	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005141	1.005236	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004059	1.006073	1.006098	1.004055	1.002037	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001015	1.003032	1.004064	1.004054	1.003053	1.002028	1.004011	1.000000	1.000656	1.000527	1.000508	1.000505	1.001012	1.002024	1.002030	1.003031	1.002530	1.002026	1.000000
150.650772	23065	1.001389	1.000000	1.001734	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020406	1.020616	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010152	1.010309	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005168	1.005155	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004047	1.006061	1.006042	1.004055	1.002028	1.002002	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.003055	1.004056	1.004054	1.003050	1.002028	1.001001	1.000000	1.000000	1.000515	1.000505	1.000505	1.000506	1.002030	1.002018	1.002028	1.002532	1.002030	1.001001
156.692154	25000	1.001281	1.000000	1.001440	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020200	1.020831	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010256	1.010471	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.005236	1.005195	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002024	1.004059	1.006085	1.004063	1.002035	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002023	1.003030	1.004074	1.003048	1.002027	1.003006	1.000000	1.000000	1.000515	1.000507	1.000505	1.000508	1.001521	1.002029	1.002025	1.002535	1.002025	1.001001
160.651077	26396	1.001289	1.000000	1.002834	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021274	1.020831	1.000000	1.000000	1.000000	1.010416	1.010309	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.010309	1.000000	1.000000	1.000000	1.005305	1.005181	1.000000	1.000000	1.000000	1.000000	1.000000	1.005291	1.005222	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004067	1.006091	1.004047	1.002028	1.002002	1.002323	1.001353	1.001045	1.001013	1.000000	1.000000	1.001011	1.003039	1.004041	1.003051	1.002021	1.001001	1.001150	1.000679	1.000523	1.001016	1.000506	1.000508	1.001014	1.002032	1.002023	1.002521	1.002021	1.001501
170.552155	30000	1.001401	1.000000	1.001680	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020406	1.019800	1.000000	1.000000	1.000000	1.000000	1.010526	1.000000	1.000000	1.000000	1.000000	1.000000	1.010362	1.010309	1.000000	1.010050	1.000000	1.000000	1.005249	1.005305	1.000000	1.000000	1.000000	1.000000	1.005128	1.005181	1.000000	1.005013	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004051	1.006073	1.004088	1.002022	1.002002	1.000000	1.001210	1.001012	1.001013	1.000000	1.000000	1.001015	1.003060	1.004043	1.002020	1.002028	1.003006	1.000000	1.000630	1.001021	1.001521	1.001008	1.001013	1.001014	1.002030	1.002024	1.002535	1.002017	1.000500
170.651291	30028	1.001400	1.000000	1.002131	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021503	1.020831	1.000000	1.000000	1.000000	1.000000	1.010362	1.000000	1.000000	1.000000	1.000000	1.000000	1.010471	1.010638	1.000000	1.000000	1.000000	1.000000	1.005181	1.005236	1.000000	1.000000	1.000000	1.000000	1.005263	1.005168	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004067	1.006055	1.004038	1.002035	1.000000	1.000000	1.001210	1.001020	1.001020	1.000000	1.000000	1.001009	1.003030	1.004060	1.002030	1.002029	1.001001	1.000000	1.000631	1.001016	1.001516	1.001015	1.001013	1.001019	1.002023	1.002031	1.002537	1.002031	1.003006
180.651428	33809	1.001421	1.000000	1.001420	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.022469	1.020831	1.000000	1.000000	1.000000	1.000000	1.000000	1.010416	1.000000	1.000000	1.000000	1.000000	1.010309	1.010050	1.000000	1.000000	1.000000	1.000000	1.005181	1.005155	1.005277	1.000000	1.000000	1.000000	1.005168	1.005249	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004038	1.006110	1.004030	1.002026	1.002002	1.000000	1.001214	1.001009	1.001009	1.001014	1.000000	1.001017	1.003052	1.004083	1.002034	1.002027	1.002002	1.000000	1.000615	1.001012	1.001517	1.001510	1.001011	1.000507	1.002031	1.002019	1.002026	1.002031	1.001001
183.397476	35000	1.001373	1.000000	1.001771	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.020831	1.020831	1.000000	1.000000	1.000000	1.000000	1.000000	1.010582	1.000000	1.000000	1.000000	1.000000	1.010471	1.010638	1.000000	1.000000	1.000000	1.000000	1.005195	1.005236	1.005076	1.000000	1.000000	1.000000	1.005168	1.005155	1.000000	1.005013	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.004080	1.006122	1.004063	1.002020	1.002002	1.000000	1.001200	1.001015	1.001015	1.001014	1.000000	1.000000	1.003043	1.004072	1.004033	1.002022	1.002002	1.000000	1.000615	1.000510	1.001014	1.001521	1.001014	1.000505	1.002028	1.002032	1.002026	1.002027	1.002003
190.651520	38043	1.001421	1.000000	1.002155	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.019800	1.020406	1.000000	1.000000	1.000000	1.000000	1.000000	1.010471	1.000000	1.000000	1.000000	1.000000	1.010638	1.010526	1.000000	1.010050	1.000000	1.000000	1.000000	1.005050	1.005102	1.000000	1.000000	1.000000	1.005141	1.005102	1.000000	1.005013	1.000000	1.000000	1.000000	1.002018	1.000000	1.000000	1.000000	1.004047	1.006098	1.004059	1.002020	1.004010	1.000000	1.000000	1.001014	1.002023	1.001014	1.001006	1.000000	1.003032	1.004045	1.002011	1.002028	1.001001	1.000000	1.000000	1.000508	1.001517	1.001517	1.001519	1.000505	1.002033	1.002023	1.002534	1.002532	1.001502
195.270096	40000	1.001401	1.000000	1.001910	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.021050	1.020616	1.000000	1.000000	1.000000	1.000000	1.000000	1.010000	1.000000	1.000000	1.000000	1.000000	1.010256	1.010416	1.000000	1.000000	1.000000	1.000000	1.000000	1.005128	1.005155	1.000000	1.000000	1.000000	1.005376	1.005222	1.000000	1.000000	1.000000	1.000000	1.000000	1.002026	1.000000	1.000000	1.000000	1.004051	1.006091	1.004042	1.002030	1.000000	1.000000	1.000000	1.001010	1.002026	1.001014	1.001013	1.000000	1.003030	1.004060	1.003043	1.002017	1.002002	1.000000	1.000000	1.000506	1.001521	1.001517	1.001523	1.000507	1.002027	1.002023	1.002026	1.002528	1.000500
