Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
297.608459	61442	5622392	5560951	29	59.090183	0.226604	66.455490	0.179361	1.054524e+00	2.504631e-09	1.677900e-02	0.000000e+00	23892	23721	11	30	30	330948	18	1071869	47645	13671	126	0	0	0	0	0	0	0	0
298.608490	61441	5687132	5625692	29	59.314480	0.229488	66.728287	0.182478	1.054996e+00	2.504631e-09	1.684844e-02	0.000000e+00	23824	23695	13	30	30	334492	18	1084184	47514	13754	173	0	0	0	0	0	0	0	0
299.608521	61537	5752409	5690873	30	59.438889	0.230739	66.678864	0.184329	1.055178e+00	2.504631e-09	1.687166e-02	0.000000e+00	24037	23720	12	31	31	338220	18	1096644	47547	13781	209	0	0	0	0	0	0	0	0
300.608521	63489	5818043	5754555	30	59.483658	0.224921	65.885185	0.181876	1.053735e+00	2.504631e-09	1.648588e-02	0.000000e+00	24470	24234	12	31	31	342329	18	1109233	49448	13802	239	0	0	0	0	0	0	0	0
301.608521	66255	5885689	5819435	32	59.560532	0.232254	65.239632	0.189813	1.053554e+00	2.504631e-09	1.608093e-02	0.000000e+00	25342	24760	11	33	33	346412	18	1121857	51249	14624	382	0	0	0	0	0	0	0	0
302.608551	69632	5957475	5887844	33	59.767994	0.267923	64.323120	0.215131	1.057517e+00	2.504631e-09	1.587610e-02	0.000000e+00	26418	25832	11	34	34	351111	18	1135432	51635	17338	659	0	0	0	0	0	0	0	0
303.608551	69633	6031318	5961686	33	59.951763	0.271222	64.123367	0.220600	1.058133e+00	2.504631e-09	1.601877e-02	0.000000e+00	26574	26206	11	34	34	355309	18	1149295	51546	17288	799	0	0	0	0	0	0	0	0
304.608582	69633	6104964	6035332	33	60.206524	0.275918	65.051216	0.227992	1.059002e+00	2.504631e-09	1.620998e-02	0.000000e+00	26789	26550	12	34	34	359593	18	1163325	51401	17251	981	0	0	0	0	0	0	0	0
305.608582	70070	6178370	6108301	34	60.518383	0.278265	66.131180	0.234006	1.059498e+00	2.504631e-09	1.633300e-02	0.000000e+00	27441	27063	11	35	35	364068	18	1177456	51735	17172	1163	0	0	0	0	0	0	0	0
306.608582	74756	6254498	6179743	36	60.718124	0.265745	66.940926	0.233089	1.056766e+00	2.504631e-09	1.577130e-02	0.000000e+00	28501	27796	12	37	37	368639	18	1191797	56310	17026	1420	0	0	0	0	0	0	0	0
307.608582	75777	6334429	6258653	36	60.920727	0.267100	67.327515	0.239637	1.056966e+00	2.504631e-09	1.584103e-02	0.000000e+00	29045	28583	13	37	37	373517	18	1207040	57199	16916	1662	0	0	0	0	0	0	0	0
308.608612	75777	6414252	6338476	36	61.149689	0.272510	66.906174	0.249678	1.058034e+00	2.504631e-09	1.611337e-02	0.000000e+00	29028	28715	13	37	37	377943	18	1222001	57076	16752	1949	0	0	0	0	0	0	0	0
