Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
291	1806	3494	3494	6	0	1	4	4.055631	0.001458	643.538147	291
62	59	3092	3092	3	0	1	2	1.812472	0.001458	634.779968	62
15	49	3080	3080	3	0	1	1	2.313823	0.001458	634.480347	15
113	1029	3049	3049	4	0	1	2	2.551810	0.001458	633.793457	167
3	59	3340	3340	3	0	1	1	1.803125	0.001458	639.827454	3
11	1806	3799	3799	6	0	1	3	3.668343	0.001458	650.098572	11
19	1929	3495	3495	5	0	1	2	2.403995	0.001458	643.539246	19
76	49	3169	3169	3	0	1	0	1.785048	0.001458	636.338867	76
575	49	3459	3459	3	0	1	0	2.426863	0.001458	642.692200	575
266	1029	3426	3426	4	0	1	1	2.603158	0.001458	641.817261	266
1	1417	3931	3931	5	0	0	0	3.588711	0.001458	652.967407	1
14	49	3822	3822	3	0	1	1	1.759940	0.001458	650.742310	14
2	59	3863	3863	3	0	1	1	1.835441	0.001458	651.776001	2
115	1417	3291	3291	5	0	1	0	3.562794	0.001458	638.875610	115
64	1806	3488	3488	6	0	1	3	3.875239	0.001458	643.269470	64
76	59	3448	3448	3	0	1	1	1.841242	0.001458	642.430115	76
197	2594	3500	3500	7	0	1	3	4.326298	0.001458	643.710510	197
299	49	3528	3528	3	0	1	0	2.067197	0.001458	644.292786	299
6	59	3571	3571	3	0	1	1	1.733533	0.001458	645.335449	6
574	1547	3514	3514	6	0	1	1	4.065609	0.001458	643.943604	574
10	49	3429	3429	3	0	1	0	1.820444	0.001458	641.890808	10
1	709	3952	3952	5	0	0	3	3.277645	0.001458	653.400024	1
135	2079	3605	3605	4	0	1	0	3.187636	0.001458	645.970276	135
353	59	3399	3399	3	0	1	1	2.418719	0.001458	641.115295	353
1	59	3939	3939	3	0	0	1	1.794014	0.001458	653.190247	1
71	2301	3590	3590	7	0	1	1	4.231981	0.001458	645.727173	71
5	59	3686	3686	3	0	1	1	1.810738	0.001458	647.710876	5
28	2262	3599	3599	4	0	1	0	2.575972	0.001458	645.884583	28
14	918	3521	3521	4	0	1	1	2.219012	0.001458	644.142273	14
123	59	3668	3668	3	0	1	1	2.129297	0.001458	647.210388	123
14	1806	3859	3859	6	0	1	3	3.899672	0.001458	651.655884	14
26	1036	3568	3568	4	0	1	1	2.462137	0.001458	645.281921	26
3	2423	3884	3884	6	0	0	3	4.264907	0.001458	652.177063	3
8	59	3845	3845	3	0	1	1	1.751841	0.001458	651.318237	8
1	59	3942	3942	3	0	0	1	1.944330	0.001458	653.263855	1
8	2262	3695	3695	4	0	1	0	2.707755	0.001458	647.943542	8
6	59	3735	3735	3	0	1	1	1.820756	0.001458	648.779907	6
36	709	3813	3813	5	0	1	3	2.955138	0.001458	650.542542	36
7	59	3746	3746	3	0	1	1	2.011516	0.001458	648.958862	7
135	1417	3763	3763	5	0	1	0	3.946464	0.001458	649.359924	135
54	3049	3862	3862	5	0	1	2	3.111777	0.001458	651.761902	54
7	49	3682	3682	3	0	1	0	1.808561	0.001458	647.586060	7
14	59	3710	3710	3	0	1	1	1.783228	0.001458	648.259216	14
1	1036	3957	3957	4	0	0	1	2.264836	0.001458	653.572815	1
24	49	3674	3674	3	0	1	0	1.945123	0.001458	647.378845	24
15	2423	3812	3812	6	0	1	3	4.667889	0.001458	650.514160	15
84	1547	3680	3680	6	0	1	1	4.140238	0.001458	647.473877	84
4	1806	3895	3895	6	0	1	3	3.672315	0.001458	652.354980	4
2	2079	3871	3871	4	0	0	0	2.370258	0.001458	651.896667	2
11	1806	3950	3950	6	0	1	3	3.832921	0.001458	653.374084	11
1	1120	3956	3956	4	0	0	2	2.170610	0.001458	653.561523	1
3	1417	3844	3844	5	0	0	0	4.158792	0.001458	651.299744	3
26	49	3736	3736	3	0	1	0	1.846818	0.001458	648.807922	26
2	2965	3940	3940	5	0	0	1	2.802197	0.001458	653.203247	2
1	1327	3933	3933	4	0	0	2	2.226474	0.001458	653.050659	1
7	2366	3839	3839	7	0	0	2	4.068567	0.001458	651.229492	7
23	3264	3882	3882	7	0	1	0	4.556191	0.001458	652.122131	23
8	1786	3878	3878	6	0	1	4	3.858041	0.001458	651.985779	8
7	49	3854	3854	3	0	1	0	1.910628	0.001458	651.567749	7
2	49	3945	3945	3	0	0	0	1.893634	0.001458	653.302307	2
2	1804	3868	3868	6	0	1	3	3.699174	0.001458	651.822876	2
5	59	3872	3872	3	0	0	1	1.814316	0.001458	651.899536	5
1	1806	3914	3914	6	0	0	3	3.652601	0.001458	652.685913	1
2	747	3932	3932	5	0	0	1	2.475081	0.001458	653.013245	2
2	49	3938	3938	3	0	0	0	1.745636	0.001458	653.141663	2
2	1472	3887	3887	4	0	0	1	2.529841	0.001458	652.241272	2
1	1036	3947	3947	4	0	0	1	2.192621	0.001458	653.317383	1
3	1547	3929	3929	6	0	0	1	3.778434	0.001458	652.900818	3
1	918	3949	3949	4	0	0	1	2.144902	0.001458	653.336731	1
1	1547	3960	3960	6	0	0	1	3.799519	0.001458	653.638794	1
1	2969	3954	3954	7	0	0	0	5.453716	0.001458	653.470276	1
1	49	3922	3922	3	0	0	0	2.018410	0.001458	652.824768	1
1	709	3915	3915	5	0	0	3	3.065750	0.001458	652.695679	1
1	623	3959	3959	4	0	0	1	3.058480	0.001458	653.626221	1
2	747	3907	3907	5	0	0	1	2.487261	0.001458	652.541626	2
13	709	3908	3908	5	0	1	3	3.594154	0.001458	652.543823	13
2	1786	3944	3944	6	0	0	3	3.704339	0.001458	653.273804	2
